Num:                257
101                 langchain-text-splitters0.2.2
102                 langcodes           3.4.0
103                 langgraph           0.1.19
104                 langserve           0.2.2
105                 langsmith           0.1.96
106                 language_data       1.2.0
107                 language_tool_python2.8.1
108                 libclang            18.1.1
109                 libcst              1.4.0
110                 lightning-utilities 0.11.6
111                 lxml                5.3.0
112                 marisa-trie         1.2.0
113                 Markdown            3.6
114                 markdown-it-py      3.0.0
115                 markdown2           2.5.1
116                 MarkupSafe          2.1.5
117                 marshmallow         3.21.3
118                 matplotlib          3.9.0
119                 matplotlib-inline   0.1.7
120                 mdurl               0.1.2
121                 mediapipe           0.10.14
122                 mkl                 2021.4.0
123                 ml-dtypes           0.3.2
124                 MouseInfo           0.1.3
125                 mpmath              1.3.0
126                 multidict           6.0.5
127                 murmurhash          1.0.10
128                 mypy                1.13.0
129                 mypy-extensions     1.0.0
130                 namex               0.0.8
131                 nest-asyncio        1.6.0
132                 networkx            3.3
133                 nltk                3.8.1
134                 numpy               1.26.4
135                 openai              1.38.0
136                 opencv-contrib-python4.10.0.84
137                 opencv-python       4.10.0.84
138                 openpyxl            3.1.5
139                 opt-einsum          3.3.0
140                 optree              0.11.0
141                 orjson              3.10.6
142                 packaging           24.1
143                 pandas              1.5.3
144                 pandasai            2.2.12
145                 parso               0.8.4
146                 pdf2image           1.17.0
147                 pdfkit              1.0.0
148                 pefile              2023.2.7
149                 pillow              10.3.0
150                 pip                 24.3.1
151                 platformdirs        4.2.2
152                 pluggy              1.5.0
153                 preshed             3.0.9
154                 prompt_toolkit      3.0.47
155                 protobuf            4.25.3
156                 psutil              6.0.0
157                 pure_eval           0.2.3
158                 PyAutoGUI           0.9.54
159                 pycparser           2.22
160                 pydantic            2.8.2
161                 pydantic_core       2.20.1
162                 pydub               0.25.1
163                 pygame              2.6.0
164                 PyGetWindow         0.0.9
165                 Pygments            2.18.0
166                 pyinstaller         6.11.1
167                 pyinstaller-hooks-contrib2024.10
168                 PyMsgBox            1.0.9
169                 pynput              1.7.7
170                 pyparsing           3.1.2
171                 PyPDF2              3.0.1
172                 pyperclip           1.9.0
173                 pyproject-toml      0.0.10
174                 PyRect              0.2.0
175                 PyScreeze           1.0.1
176                 pytesseract         0.3.13
177                 pytest              8.2.2
178                 python-dateutil     2.9.0.post0
179                 python-docx         1.1.2
180                 python-dotenv       1.0.1
181                 pytorch-lightning   2.3.3
182                 pytweening          1.2.0
183                 pytz                2024.1
184                 pywin32             306
185                 pywin32-ctypes      0.2.3
186                 PyYAML              6.0.1
187                 pyzmq               26.2.0
188                 referencing         0.35.1
189                 regex               2024.7.24
190                 requests            2.32.3
191                 rich                13.7.1
192                 rpds-py             0.19.1
193                 safetensors         0.4.3
194                 scikit-learn        1.5.1
195                 scipy               1.14.0
196                 screeninfo          0.8.1
197                 seaborn             0.13.2
198                 senticnet           1.6
199                 setuptools          75.6.0
200                 shellingham         1.5.4
201                 simpleaudio         1.0.4
202                 six                 1.16.0
203                 smart-open          7.0.4
204                 smmap               5.0.1
205                 sniffio             1.3.1
206                 sounddevice         0.4.7
207                 soupsieve           2.5
208                 spacy               3.7.5
209                 spacy-legacy        3.0.12
210                 spacy-loggers       1.0.5
211                 SQLAlchemy          2.0.31
212                 sqlglot             25.8.1
213                 sqlglotrs           0.2.8
214                 srsly               2.4.8
215                 sse-starlette       1.8.2
216                 stack-data          0.6.3
217                 starlette           0.37.2
218                 sympy               1.12.1
219                 symspellpy          6.7.7
220                 tbb                 2021.13.0
221                 tenacity            8.5.0
222                 tensorboard         2.16.2
223                 tensorboard-data-server0.7.2
224                 tensorflow          2.16.1
225                 tensorflow-intel    2.16.1
226                 termcolor           2.4.0
227                 thinc               8.2.5
228                 threadpoolctl       3.5.0
229                 tokenizers          0.19.1
230                 toml                0.10.2
231                 tomlkit             0.12.5
232                 torch               2.3.1+cu121
233                 torchaudio          2.3.1+cu121
234                 torchmetrics        1.4.0.post0
235                 torchsummary        1.5.1
236                 torchvision         0.18.1+cu121
237                 tornado             6.4.1
238                 tqdm                4.66.4
239                 traitlets           5.14.3
240                 transformers        4.43.3
241                 typer               0.9.4
242                 typing_extensions   4.12.2
243                 typing-inspect      0.9.0
244                 tzdata              2024.1
245                 urllib3             2.2.2
246                 uuid6               2024.1.12
247                 uvicorn             0.23.2
248                 virtualenv          20.26.3
249                 wasabi              1.1.3
250                 Wave                0.0.2
251                 wavio               0.0.9
252                 wcwidth             0.2.13
253                 weasel              0.4.1
254                 Werkzeug            3.0.3
255                 wheel               0.45.1
256                 wrapt               1.16.0
257                 yarl                1.9.4
