Num:                256
88                  jsonpointer         3.0.0
89                  jsonschema          4.23.0
90                  jsonschema-specifications2023.12.1
91                  jupyter_client      8.6.2
92                  jupyter_core        5.7.2
93                  keras               3.4.0
94                  keyboard            0.13.5
95                  kiwisolver          1.4.5
96                  langchain           0.2.12
97                  langchain-cli       0.0.28
98                  langchain-community 0.2.11
99                  langchain-core      0.2.28
100                 langchain-experimental0.0.64
101                 langchain-text-splitters0.2.2
102                 langcodes           3.4.0
103                 langgraph           0.1.19
104                 langserve           0.2.2
105                 langsmith           0.1.96
106                 language_data       1.2.0
107                 language_tool_python2.8.1
108                 libclang            18.1.1
109                 libcst              1.4.0
110                 lightning-utilities 0.11.6
111                 lxml                5.3.0
112                 marisa-trie         1.2.0
113                 Markdown            3.6
114                 markdown-it-py      3.0.0
115                 markdown2           2.5.1
116                 MarkupSafe          2.1.5
117                 marshmallow         3.21.3
118                 matplotlib          3.9.0
119                 matplotlib-inline   0.1.7
120                 mdurl               0.1.2
121                 mediapipe           0.10.14
122                 mkl                 2021.4.0
123                 ml-dtypes           0.3.2
124                 MouseInfo           0.1.3
125                 mpmath              1.3.0
126                 multidict           6.0.5
127                 murmurhash          1.0.10
128                 mypy                1.13.0
129                 mypy-extensions     1.0.0
130                 namex               0.0.8
131                 nest-asyncio        1.6.0
132                 networkx            3.3
133                 nltk                3.8.1
134                 numpy               1.26.4
135                 openai              1.38.0
136                 opencv-contrib-python4.10.0.84
137                 opencv-python       4.10.0.84
138                 openpyxl            3.1.5
139                 opt-einsum          3.3.0
140                 optree              0.11.0
141                 orjson              3.10.6
142                 packaging           24.1
143                 pandas              1.5.3
144                 pandasai            2.2.12
145                 parso               0.8.4
146                 pdf2image           1.17.0
147                 pdfkit              1.0.0
148                 pefile              2023.2.7
149                 pillow              10.3.0
150                 platformdirs        4.2.2
151                 pluggy              1.5.0
152                 preshed             3.0.9
153                 prompt_toolkit      3.0.47
154                 protobuf            4.25.3
155                 psutil              6.0.0
156                 pure_eval           0.2.3
157                 PyAutoGUI           0.9.54
158                 pycparser           2.22
159                 pydantic            2.8.2
160                 pydantic_core       2.20.1
161                 pydub               0.25.1
162                 pygame              2.6.0
163                 PyGetWindow         0.0.9
164                 Pygments            2.18.0
165                 pyinstaller         6.11.1
166                 pyinstaller-hooks-contrib2024.10
167                 PyMsgBox            1.0.9
168                 pynput              1.7.7
169                 pyparsing           3.1.2
170                 PyPDF2              3.0.1
171                 pyperclip           1.9.0
172                 pyproject-toml      0.0.10
173                 PyRect              0.2.0
174                 PyScreeze           1.0.1
175                 pytesseract         0.3.13
176                 pytest              8.2.2
177                 python-dateutil     2.9.0.post0
178                 python-docx         1.1.2
179                 python-dotenv       1.0.1
180                 pytorch-lightning   2.3.3
181                 pytweening          1.2.0
182                 pytz                2024.1
183                 pywin32             306
184                 pywin32-ctypes      0.2.3
185                 PyYAML              6.0.1
186                 pyzmq               26.2.0
187                 referencing         0.35.1
188                 regex               2024.7.24
189                 requests            2.32.3
190                 rich                13.7.1
191                 rpds-py             0.19.1
192                 safetensors         0.4.3
193                 scikit-learn        1.5.1
194                 scipy               1.14.0
195                 screeninfo          0.8.1
196                 seaborn             0.13.2
197                 senticnet           1.6
198                 setuptools          75.6.0
199                 shellingham         1.5.4
200                 simpleaudio         1.0.4
201                 six                 1.16.0
202                 smart-open          7.0.4
203                 smmap               5.0.1
204                 sniffio             1.3.1
205                 sounddevice         0.4.7
206                 soupsieve           2.5
207                 spacy               3.7.5
208                 spacy-legacy        3.0.12
209                 spacy-loggers       1.0.5
210                 SQLAlchemy          2.0.31
211                 sqlglot             25.8.1
212                 sqlglotrs           0.2.8
213                 srsly               2.4.8
214                 sse-starlette       1.8.2
215                 stack-data          0.6.3
216                 starlette           0.37.2
217                 sympy               1.12.1
218                 symspellpy          6.7.7
219                 tbb                 2021.13.0
220                 tenacity            8.5.0
221                 tensorboard         2.16.2
222                 tensorboard-data-server0.7.2
223                 tensorflow          2.16.1
224                 tensorflow-intel    2.16.1
225                 termcolor           2.4.0
226                 thinc               8.2.5
227                 threadpoolctl       3.5.0
228                 tokenizers          0.19.1
229                 toml                0.10.2
230                 tomlkit             0.12.5
231                 torch               2.3.1+cu121
232                 torchaudio          2.3.1+cu121
233                 torchmetrics        1.4.0.post0
234                 torchsummary        1.5.1
235                 torchvision         0.18.1+cu121
236                 tornado             6.4.1
237                 tqdm                4.66.4
238                 traitlets           5.14.3
239                 transformers        4.43.3
240                 typer               0.9.4
241                 typing-inspect      0.9.0
242                 typing_extensions   4.12.2
243                 tzdata              2024.1
244                 urllib3             2.2.2
245                 uuid6               2024.1.12
246                 uvicorn             0.23.2
247                 virtualenv          20.26.3
248                 wasabi              1.1.3
249                 Wave                0.0.2
250                 wavio               0.0.9
251                 wcwidth             0.2.13
252                 weasel              0.4.1
253                 Werkzeug            3.0.3
254                 wheel               0.45.1
255                 wrapt               1.16.0
256                 yarl                1.9.4
